Acronym on the AAS list,Latin,Vernacular full,Nickname
AA,Congregatio Augustinianorum ab Assumptione,Augustinians of the Assumption,Assumptionists
Carm BMVI,Congregatio Fratrum Carmelitarum B.V. Mariae Immaculatae,Carmelites of Mary Immaculate,
CICM,Congregatio Immaculata Cordis Mariae,Congregation of the Sacred Heart of the Virgin Mary,Scheutists
CJM,Congregatio Iesu et Mariae,Congregation of Jesus and Mary,Eudists
CM,Congregatio Missionis,Congregation of the Mission,Vincentians/Lazarists
CMF,Congregatio Missionariorum Filiorum Immaculati Cordis Beatae Mariae Virginis,Missionary Sons of the Immaculate Heart of Mary (Claretians),Claretians
CP,Congregatio Passionis Iesu Christi,Congregation of the Passion,Passionists
CSS,Congregatio a Ss. Stigmatibus D.N.I.C.,Congregation of the Sacred Stigmata,Stigmatine Fathers
CSB,Congregatio a Sancto Basilio,Congregation of St. Basil,Basilian Fathers
CSC,Congregatio a Sanctae Cruce,Congregation of Holy Cross,Holy Cross Fathers
CSSP,Congregatio Sancti Spiritus sub tutela Immaculati Cordis Beatissimae Virginis Mariae,Congregation of the Holy Spirit,"Holy Ghost Fathers, Spiritans"
CSSR,Congregatio Sanctissimi Redemptoris,Congregation of the Most Holy Redeemer,Redemptorists
FSC,Fratres Scholarum Christianarum,Institute of the Brothers of the Christian Schools,De La Salle Brothers
IC,Institutum Charitatis,Institute of Charity,Rosminians
MSC,Missionarii Sacratissimi Cordis Iesu,Missionaries of the Sacred Heart of Jesus,Sacred Heart Missionaries
MSSST,Congregatio Missionariorum Servorum Sanctissimae Trinitatis,Missionary Servants of the Most Holy Trinity,
O Carm,Ordo Fratrum Beatissimae Mariae Virginis de Monte Carmelo,Order of Our Lady of Mt. Carmel,Carmelites
O Praem,Candidus et Canonicus Ordo Praemonstratensis,Order of the Canons Regular of Premontre,"Norbertines, Premonstratensians"
OCD,Ordo Fratrum Discalceatorum B. Mariae V. de Monte Carmelo,Order of Discalced Carmelites,Discalced Carmelites
OESA,Ordo Fratrum Sancti Augustini / Ordo eremitarum sancti Augustini,Order of St. Augustine / Order of Hermits of Saint Augustine,Augustinians
OFM,Ordo Fratrum Minorum,Order of Friars Minor,Franciscans
OFM Capuchin,Ordo Fratrum Minorum Capuccinorum,Order of Friars Minor Capuchin,Capuchins
OFM Conventual,Ordo Fratrum Minorum Conventualium,Order of Friars Minor Conventual,Conventual Franciscans
OMI,Congregatio Missionariorum Oblatorum Beatae Mariae Virginis Immaculatae,Oblates of Mary Immaculate,
OP,Ordo Fratrum Praedicatorum,Order of Friars Preachers,Dominicans
Opus Dei,Praelatura Sanctae Crucis et Operis Dei,Prelature of the Holy Cross and Opus Dei,Opus Dei
Oratorian,Confoederatio Oratorii S. Philippi Nerii,Confederation of Oratorians of St. Philip Neri,Oratorians
ORSA,Ordo Augustinianorum Recollectorum,Order of Augustinian Recollects,Augustinian Recollects
OSB,Ordo S. Benedicti,Order of St. Benedict,Benedictines
OSBM,Ordo Sancti Basilii Magni,Basilian Order of Saint Josaphat,Order of St. Basil the Great
OSM,Ordo Servorum Mariae,Order of Friar Servants of Mary,Servites
PA,Missionarii Africae (Patres Albi),Missionaries of Africa,White Fathers
PIME,Pontificium Institutum pro Missionibus Exteris,Pontifical Institute for Foreign Missions,
PSS,Societas Presbyterorum a S. Sulpitio,Society of Priests of Saint Sulpice,Sulpicians
RSV,Congregatio Religiosorum S. Vincentii a Paulo,Religieux de Saint Vincent de Paul,
Sac OP Dioc,Sacerdotes Operarios Diocesanos / Sodalitas Sacerdotum Operariorum Dioecesanorum Sacro Corde Iesu,Diocesanos del Sagrado Corazón de Jesús,
SDB,Societas S. Francisci Salesii,Salesians of Saint John Bosco,Salesians
SJ,Societas Iesu,Society of Jesus,Jesuits
SMM,Societas Mariae Montfortana,Missionaries of the Company of Mary,Montfort Missionaries
SP,Servi Sancti Paracliti,Servants of the Holy Paraclete,
SSS,Congregatio Sanctissimi Sacramenti,Congregation of the Blessed Sacrament,Blessed Sacrament Fathers
SVD,Societas Verbi Divini,Society of the Divine Word,Divine Word Missionaries